ProductID,Flerstyksintervaller,Flerstyksinterspriser
ImportedPROD1106,1,149.95
ImportedPROD1107,1,149.95
ImportedPROD1157,1,75.8
ImportedPROD1158,1,75.8
ImportedPROD1159,1,75.8
ImportedPROD1160,1,75.8
ImportedPROD1161,1,75.8
ImportedPROD1162,1,75.8
ImportedPROD1163,1,75.8
ImportedPROD1164,1,75.8
ImportedPROD1165,1,90
ImportedPROD1166,1,90
ImportedPROD1167,1,90
ImportedPROD1168,1,90
ImportedPROD1169,1,90
ImportedPROD1170,1,90
ImportedPROD1171,1,90
ImportedPROD1172,1,90
ImportedPROD1173,1,122.15
ImportedPROD1174,1,122.15
ImportedPROD1175,1,122.15
ImportedPROD1176,1,122.15
ImportedPROD1177,1,60
ImportedPROD1178,1,122.15
ImportedPROD1179,1,122.15
ImportedPROD1180,1,122.15
ImportedPROD1181,1,141.75
ImportedPROD1182,1,141.75
ImportedPROD1183,1,141.75
ImportedPROD1184,1,141.75
ImportedPROD1185,1,141.75
ImportedPROD1186,1,141.75
ImportedPROD1187,1,141.75
ImportedPROD1188,1,141.75
ImportedPROD1189,1,169.3
ImportedPROD1190,1,169.3
ImportedPROD1191,1,169.3
ImportedPROD1192,1,169.3
ImportedPROD1193,1,169.3
ImportedPROD1194,1,169.3
ImportedPROD1195,1,169.3
ImportedPROD1196,1,169.3
ImportedPROD1197,1,173.9
ImportedPROD1198,1,173.9
ImportedPROD1199,1,91.15
ImportedPROD1200,1,91.15
ImportedPROD1201,1,91.15
ImportedPROD1202,1,91.15
ImportedPROD1203,1,91.15
ImportedPROD1204,1,91.15
ImportedPROD1205,1,91.15
ImportedPROD1206,1,91.15
ImportedPROD1207,1,338.4
ImportedPROD1208,1,338.4
ImportedPROD1209,1,338.4
ImportedPROD1210,1,338.4
ImportedPROD1211,1,338.4
ImportedPROD1212,1,338.4
ImportedPROD1213,1,338.4
ImportedPROD1214,1,338.4
ImportedPROD1215,1,396.4
ImportedPROD1216,1,396.4
ImportedPROD1217,1,396.4
ImportedPROD1218,1,396.4
ImportedPROD1219,1,396.4
ImportedPROD1220,1,396.4
ImportedPROD1221,1,396.4
ImportedPROD1222,1,396.4
ImportedPROD1223,1,95.1
ImportedPROD1224,1,95.4
ImportedPROD1225,1,95.4
ImportedPROD1226,1;3,115.4;102.3
ImportedPROD1227,1;3,115.4;102.3
ImportedPROD1228,1,95.4
ImportedPROD1229,1,95.4
ImportedPROD1230,1,95.4
ImportedPROD1231,1;3,115.4;102.3
ImportedPROD1232,1;3,115.4;102.3
ImportedPROD1233,1,119.2
ImportedPROD1234,1,119.2
ImportedPROD1235,1,119.2
ImportedPROD1236,1,119.2
ImportedPROD1237,1,119.2
ImportedPROD1238,1,119.2
ImportedPROD1256,1,119.2
ImportedPROD1257,1,119.2
ImportedPROD1258,1,158.2
ImportedPROD1259,1,158.2
ImportedPROD1260,1,158.2
ImportedPROD1261,1,158.2
ImportedPROD1262,1,158.2
ImportedPROD1263,1,158.2
ImportedPROD1264,1,158.2
ImportedPROD1265,1,158.2
ImportedPROD1266,1,111.1
ImportedPROD1267,1,111.1
ImportedPROD1268,1,111.1
ImportedPROD1269,1,111.1
ImportedPROD1270,1,111.1
ImportedPROD1271,1,111.1
ImportedPROD134,1,111.1
ImportedPROD138,1,111.1
ImportedPROD139,1;4;10,129;114.8;103.95
ImportedPROD1406,1;4;10,129;114.8;103.95
ImportedPROD1407,1;4;10,129;114.8;103.95
ImportedPROD1408,1,4913
ImportedPROD1409,1,2712
ImportedPROD1410,1,298
ImportedPROD1411,1,298
ImportedPROD1412,1,298
ImportedPROD1422,1,298
ImportedPROD1423,1,298
ImportedPROD1424,1,298
ImportedPROD144,1,298
ImportedPROD145,1,83
ImportedPROD147,1,138
ImportedPROD148,1,3648
ImportedPROD149,1,249
ImportedPROD15,1,249
ImportedPROD150,1,142
ImportedPROD151,1,188
ImportedPROD1519,1,609
ImportedPROD152,1,389
ImportedPROD1520,1,1238
ImportedPROD1523,1,1915
ImportedPROD153,1,877
ImportedPROD154,1,4469
ImportedPROD155,1,968
ImportedPROD156,1,2383
ImportedPROD157,1,609
ImportedPROD158,1,1238
ImportedPROD159,1,1915
ImportedPROD16,1,4378
ImportedPROD160,1,609
ImportedPROD161,1,1238
ImportedPROD162,1,1915
ImportedPROD163,1,399
ImportedPROD164,1,4378
ImportedPROD165,1,609
ImportedPROD166,1,1238
ImportedPROD167,1,1915
ImportedPROD168,1,4378
ImportedPROD169,1,957
ImportedPROD17,1,1448
ImportedPROD170,1,3276
ImportedPROD178,1,285
ImportedPROD179,1,436
ImportedPROD18,1,388
ImportedPROD180,1,827
ImportedPROD181,1,457
ImportedPROD182,1,503
ImportedPROD183,1,549
ImportedPROD184,1,789
ImportedPROD185,1,336
ImportedPROD186,1,418
ImportedPROD187,1,672
ImportedPROD188,1,999
ImportedPROD189,1,1329
ImportedPROD190,1,264
ImportedPROD21,1,389
ImportedPROD215,1,737
ImportedPROD24,1,1361
ImportedPROD25,1,1758
ImportedPROD269,1,1398
ImportedPROD270,1,498
ImportedPROD271,1,4137
ImportedPROD273,1,4652
ImportedPROD274,1,81
ImportedPROD280,1,4190
ImportedPROD322,1,6159
ImportedPROD323,1,1185.35
ImportedPROD324,1,101.05
